,Colors,Satisfaction levels,Temperature,Income
172,Yellow,Low,72,342982
173,Orange,Low,26,437136
174,Yellow,Medium,66,361014
175,Purple,High,52,378915
176,Orange,Medium,67,506814
177,Blue,Medium,61,384314
178,Orange,Medium,14,384131
179,Yellow,Low,96,388040
180,Red,Low,4,635084
181,Red,Low,67,364792
182,Red,Medium,11,779613
183,Orange,High,86,253998
184,Orange,Medium,77,875560
185,Blue,Medium,75,362893
186,Red,Low,56,174610
187,Purple,Low,16,542574
188,Blue,Medium,24,381938
189,Orange,High,29,638587
190,Orange,Low,21,140317
191,Yellow,High,25,794240
192,Blue,High,80,946232
193,Red,Medium,60,23640
194,Red,Medium,61,996131
195,Purple,Medium,83,448879
196,Yellow,High,33,13912
197,Yellow,Low,32,191658
198,Blue,Low,70,999634
199,Orange,Medium,85,31752
200,Orange,Low,31,788420
201,Red,High,13,856147
202,Red,High,71,492284
203,Blue,Low,56,542285
204,Green,High,24,456222
205,Red,High,79,968304
206,Yellow,High,41,943124
207,Orange,Medium,18,247507
208,Blue,Medium,40,80381
209,Blue,Low,54,326412
210,Purple,Low,79,774502
211,Red,Low,11,341213
212,Orange,High,38,864905
213,Red,High,93,101757
214,Yellow,Medium,1,637531
215,Green,Medium,95,183584
216,Yellow,Low,44,947112
217,Green,Low,88,998061
218,Purple,High,24,626597
219,Yellow,Medium,67,371582
220,Orange,Medium,82,649001
221,Orange,High,3,380128
222,Yellow,Low,76,682700
223,Red,Medium,35,11913
224,Yellow,Medium,86,455302
225,Red,Medium,61,23429
226,Purple,Medium,69,134349
227,Green,Medium,87,286051
228,Yellow,High,43,831921
229,Orange,High,32,413304
230,Orange,High,11,125616
231,Purple,Low,84,680948
232,Red,Medium,10,834827
233,Green,High,54,70155
234,Yellow,Medium,37,655241
235,Yellow,Medium,28,703574
236,Blue,Medium,2,272613
237,Orange,Medium,27,53295
238,Yellow,Low,83,84253
239,Purple,High,89,650839
240,Orange,High,23,175560
241,Orange,Low,53,703400
242,Yellow,Medium,51,420191
243,Yellow,Medium,46,638777
244,Blue,Low,20,258082
245,Blue,Low,53,156984
246,Blue,Low,29,955590
247,Yellow,High,67,354271
248,Green,Medium,35,811547
249,Green,High,39,391094
250,Purple,Medium,9,614271
251,Yellow,High,73,193645
252,Blue,Low,41,235273
253,Green,High,23,261009
254,Yellow,Low,3,467439
255,Orange,Medium,46,773766
256,Orange,Medium,90,545340
257,Orange,Medium,50,919528
258,Blue,Low,3,25741
259,Purple,Low,31,853800
260,Green,Low,9,104275
261,Green,Low,10,316130
262,Red,Low,27,277247
263,Blue,Low,45,656915
264,Orange,Medium,71,569338
265,Red,Low,39,404956
266,Purple,High,61,327414
267,Red,High,85,677939
268,Yellow,Medium,97,343526
269,Green,Medium,44,383758
270,Orange,Medium,34,188877
271,Orange,High,34,685525
272,Red,Medium,88,143847
273,Red,Medium,33,749883
274,Orange,Low,5,565040
275,Blue,Medium,36,885531
276,Blue,High,0,220536
277,Red,Medium,75,81892
278,Yellow,Medium,34,568218
279,Red,Low,69,56774
280,Yellow,Low,53,300795
281,Red,Medium,80,335029
282,Purple,Medium,62,157069
283,Purple,High,8,468396
284,Red,Medium,61,895359
285,Blue,High,1,894200
286,Yellow,High,81,608786
287,Purple,Medium,35,73003
288,Yellow,High,91,358115
289,Green,High,40,437225
290,Orange,Low,36,184743
291,Blue,Medium,48,473155
292,Blue,Medium,25,814014
293,Green,Medium,67,826276
294,Blue,High,35,94917
295,Orange,Medium,30,48429
296,Purple,Medium,29,353619
297,Orange,Medium,33,872755
298,Green,High,18,92727
299,Orange,Low,17,332953
300,Orange,Medium,93,667481
301,Purple,Low,84,710713
302,Purple,Medium,2,755347
303,Orange,Medium,69,669246
304,Orange,High,12,575978
305,Green,Low,44,229058
306,Yellow,High,66,746108
307,Orange,Low,91,85523
308,Yellow,High,85,781871
309,Blue,Low,39,123417
310,Green,High,39,398490
311,Purple,Low,75,136491
312,Yellow,Low,22,92119
313,Yellow,Low,30,502967
314,Blue,Low,17,146253
315,Blue,Medium,70,53349
316,Orange,High,71,217650
317,Orange,Low,18,183986
318,Blue,Low,92,211816
319,Blue,Medium,43,606001
320,Green,High,83,516501
321,Red,Medium,49,204792
322,Yellow,Low,41,211471
323,Blue,Low,93,917300
324,Purple,Low,46,388624
325,Yellow,Low,21,319538
326,Blue,Low,73,214997
327,Blue,Medium,89,273038
328,Green,Low,96,597701
329,Red,High,91,130062
330,Red,High,73,451424
331,Green,High,28,433358
332,Purple,Low,81,305048
333,Red,Low,58,954317
334,Purple,High,0,442257
335,Yellow,Low,86,856033
336,Yellow,High,63,625792
337,Red,High,16,122931
338,Red,Low,36,613512
339,Yellow,Medium,94,341099
340,Orange,Medium,24,354232
341,Yellow,Medium,63,540292
342,Red,Low,67,438836
343,Yellow,Low,51,907200
344,Red,Medium,8,576809
345,Orange,Low,56,751699
346,Green,Low,91,853623
347,Blue,Medium,93,592140
348,Red,High,87,111490
349,Purple,High,32,294446
350,Red,Low,19,490285
351,Yellow,High,72,617985
352,Purple,Medium,71,586801
353,Purple,Medium,87,772002
354,Blue,High,13,195617
355,Red,Medium,58,129005
356,Green,High,81,555277
357,Purple,High,55,143634
358,Purple,Medium,64,687957
359,Green,High,75,166556
360,Purple,Low,92,219781
361,Yellow,Low,36,889357
362,Green,High,25,973906
363,Yellow,Medium,32,103807
364,Red,Medium,42,524139
365,Orange,High,14,545893
366,Orange,High,86,895159
367,Orange,Medium,28,398647
368,Red,Low,20,730843
369,Red,High,82,103846
370,Orange,Low,68,398510
371,Yellow,High,22,202145
372,Purple,Low,99,131542
373,Purple,High,83,633559
374,Orange,Medium,7,243746
375,Green,High,72,379500
376,Green,Medium,61,294715
377,Purple,Low,13,981859
378,Blue,Medium,5,698561
379,Yellow,Medium,0,88633
380,Yellow,High,8,98157
381,Yellow,High,79,531390
382,Blue,Low,79,486565
383,Green,Medium,53,792537
384,Orange,Low,11,841321
385,Green,Low,4,356610
386,Yellow,Low,39,368880
387,Orange,High,92,351979
388,Green,Low,45,878681
389,Yellow,Medium,26,488748
390,Purple,Low,74,812795
391,Purple,High,52,428001
392,Green,Medium,49,459129
393,Orange,Low,91,73418
394,Blue,Medium,51,439952
395,Green,High,99,886502
396,Orange,Low,18,731936
397,Red,Low,34,606074
398,Yellow,Low,51,67508
399,Red,High,30,625006
400,Green,Medium,53,935208
401,Purple,Low,58,344452
402,Yellow,Low,43,838611
403,Green,Low,55,560195
404,Blue,Low,18,710552
405,Green,Medium,45,150216
406,Blue,High,87,793195
407,Purple,High,65,955245
408,Orange,Medium,70,782846
409,Blue,Low,53,334695
410,Red,Medium,48,247728
411,Orange,Medium,94,405411
412,Red,Medium,59,407896
413,Red,Medium,80,458967
414,Red,Medium,26,691047
415,Red,Medium,35,848669
416,Blue,High,58,369738
417,Red,High,49,392545
418,Yellow,Medium,73,834440
419,Blue,Medium,44,675460
420,Purple,Medium,13,332487
421,Blue,High,70,53723
422,Green,Low,38,764396
423,Purple,Low,39,719540
424,Red,Low,8,460841
425,Red,Medium,13,842288
426,Green,Low,7,623802
427,Orange,Medium,80,742942
428,Red,Low,22,162022
429,Purple,High,79,937004
430,Purple,High,89,771108
431,Purple,Medium,8,763618
432,Blue,Low,99,586836
433,Blue,Low,6,318758
434,Purple,Low,81,130035
435,Blue,Low,71,688778
436,Orange,Low,84,846179
437,Blue,High,89,567703
438,Yellow,Medium,66,546520
439,Orange,Low,60,944461
440,Blue,High,16,639389
441,Yellow,Low,56,113941
442,Orange,High,23,854032
443,Yellow,Medium,24,168856
444,Blue,Low,4,185311
445,Blue,Low,49,778463
446,Blue,High,87,501445
447,Red,Medium,30,899995
448,Yellow,High,54,379668
449,Red,High,25,49335
450,Purple,Medium,20,440428
451,Blue,Low,97,193213
452,Purple,Low,57,203818
453,Orange,High,23,174426
454,Red,Medium,27,457470
455,Yellow,Medium,29,279745
456,Green,Low,33,562155
457,Blue,Low,53,283203
458,Purple,High,51,76275
459,Purple,Low,86,424482
460,Purple,Medium,7,758917
461,Red,High,9,146482
462,Red,High,54,320835
463,Green,Medium,0,714158
464,Orange,Low,83,92357
465,Red,Low,36,341578
466,Yellow,Medium,81,628411
467,Yellow,Low,20,683591
468,Purple,Low,3,19724
469,Blue,High,42,781068
470,Purple,Low,65,819746
471,Yellow,Low,20,731837
472,Yellow,Medium,36,561767
473,Yellow,Medium,68,297169
474,Purple,Medium,80,676950
475,Green,Medium,47,720122
476,Blue,Medium,10,742213
477,Green,Medium,94,828270
478,Green,High,91,28491
479,Blue,Low,43,24672
480,Yellow,High,63,888234
481,Yellow,Low,31,105868
482,Purple,Medium,20,751539
483,Purple,Low,70,677194
484,Green,High,9,223937
485,Blue,Low,60,465786
486,Blue,Low,91,83929
487,Red,Medium,35,853052
488,Red,High,83,224797
489,Green,Medium,76,320137
490,Purple,Medium,18,994902
491,Yellow,Medium,74,379190
492,Orange,Low,98,898487
493,Yellow,Low,97,140061
494,Green,High,43,862871
495,Blue,Low,3,549640
496,Red,Low,12,991526
497,Purple,High,58,810729
498,Blue,Medium,1,146968
499,Purple,High,0,546291
500,Purple,High,39,869910
501,Green,Low,24,820193
502,Red,High,58,183511
503,Red,High,36,139492
504,Orange,Low,99,113897
505,Yellow,High,69,616146
506,Blue,Medium,6,630092
507,Orange,Low,3,399520
508,Orange,Medium,98,62280
509,Blue,High,40,901762
510,Orange,Medium,60,439805
511,Red,Medium,33,356775
512,Purple,Low,28,935976
513,Yellow,Medium,68,994068
514,Orange,Medium,26,569716
515,Yellow,Medium,96,334588
516,Purple,High,51,340033
517,Yellow,Low,73,233575
518,Purple,Medium,53,97582
519,Yellow,Medium,69,410950
520,Red,Low,33,231337
521,Orange,Medium,7,300580
522,Yellow,High,94,296049
523,Yellow,Low,72,36981
524,Blue,Medium,84,872905
525,Yellow,High,7,579751
526,Orange,Medium,67,238763
527,Orange,High,85,600877
528,Purple,Medium,91,291505
529,Red,High,67,31875
530,Yellow,Medium,84,833093
531,Red,High,71,668039
532,Red,High,83,611011
533,Yellow,High,95,735846
534,Blue,High,0,434438
535,Green,Low,5,661271
536,Yellow,High,91,340345
537,Green,High,30,619265
538,Yellow,High,73,303001
539,Red,High,83,836038
540,Yellow,Low,7,767632
541,Green,Medium,21,404067
542,Red,Low,92,789640
543,Yellow,High,8,15028
544,Blue,Low,43,423393
545,Purple,Low,46,657029
546,Yellow,High,0,49920
547,Blue,Medium,51,390163
548,Green,High,38,231310
549,Orange,High,89,851514
550,Blue,Medium,74,818468
551,Purple,Medium,98,502324
552,Blue,High,87,572500
553,Orange,Medium,96,520928
554,Yellow,High,83,92032
555,Blue,Medium,26,437951
556,Yellow,High,78,616858
557,Green,Low,32,243709
558,Purple,Medium,70,273528
559,Orange,Medium,97,532075
560,Blue,High,44,613691
561,Purple,High,59,599887
562,Blue,Low,57,374447
563,Purple,High,50,210596
564,Blue,Medium,45,323798
565,Green,High,4,72729
566,Orange,Low,57,324812
567,Orange,Medium,93,252267
568,Green,High,91,815487
569,Yellow,Low,17,711859
570,Blue,High,35,503907
571,Green,Medium,66,888412
572,Green,High,20,46209
573,Purple,Medium,45,149082
574,Green,Low,57,856050
575,Green,Low,79,89073
576,Yellow,Medium,36,323259
577,Red,Low,62,605587
578,Orange,High,4,946844
579,Purple,Low,77,214004
580,Green,Medium,30,767562
581,Red,High,87,587409
582,Red,Low,98,24705
583,Green,High,35,721808
584,Yellow,Low,73,752183
585,Orange,Low,90,531240
586,Orange,Medium,55,35274
587,Orange,Low,26,92212
588,Blue,Medium,22,565363
589,Orange,Low,76,789077
590,Yellow,High,79,63251
591,Green,Low,98,867314
592,Purple,High,90,557705
593,Blue,Medium,51,499916
594,Blue,Low,46,285873
595,Green,High,80,164908
596,Green,Low,61,590420
597,Purple,High,60,603946
598,Orange,Low,47,862704
599,Yellow,High,0,692232
600,Purple,High,10,374909
601,Orange,Low,75,618179
602,Green,Low,13,676825
603,Purple,High,71,89285
604,Orange,Medium,94,378837
605,Green,Medium,6,776881
606,Blue,Medium,45,765335
607,Purple,Medium,30,528781
608,Red,Low,15,305518
609,Blue,High,41,421720
610,Red,Medium,38,317446
611,Green,Medium,53,393828
612,Red,Medium,43,199575
613,Yellow,Medium,82,912851
614,Orange,High,7,287979
615,Green,Low,92,935292
616,Red,High,65,848979
617,Green,Medium,41,900982
618,Yellow,Medium,66,558692
619,Red,Medium,92,954455
620,Red,Medium,78,231779
621,Blue,High,91,572399
622,Red,Low,31,471056
623,Orange,Medium,93,284053
624,Red,High,50,898155
625,Green,Medium,46,633723
626,Yellow,Medium,93,631470
627,Purple,Medium,33,155353
628,Orange,High,12,159459
629,Yellow,Low,96,857367
630,Yellow,High,80,725925
631,Red,High,66,511733
632,Purple,High,72,885996
633,Purple,High,10,23704
634,Yellow,High,90,716219
635,Green,Low,27,150846
636,Purple,Medium,56,608016
637,Purple,Medium,65,607352
638,Orange,High,64,502211
639,Yellow,High,69,777526
640,Orange,High,88,400233
641,Orange,Medium,34,422147
642,Blue,Medium,79,233970
643,Purple,Medium,3,78219
644,Orange,High,60,165991
645,Orange,High,37,615280
646,Yellow,Medium,43,737891
647,Blue,High,83,563242
648,Yellow,Low,88,655838
649,Orange,Medium,70,81712
650,Yellow,Medium,20,889731
651,Green,High,6,180438
652,Red,Low,28,278129
653,Blue,Medium,6,833724
654,Orange,Low,66,895563
655,Orange,Low,92,872009
656,Orange,High,92,983490
657,Red,Medium,69,151485
658,Blue,Low,73,40441
659,Orange,Medium,54,865172
660,Blue,High,77,201929
661,Orange,Medium,21,141165
662,Purple,High,31,220321
663,Green,Medium,81,45235
664,Green,Medium,35,701906
665,Yellow,High,8,862372
666,Red,Low,25,15037
667,Orange,Low,21,429001
668,Orange,Medium,45,187103
669,Yellow,Medium,86,469127
670,Green,Medium,16,878004
671,Yellow,Low,25,521849
672,Green,High,37,86478
673,Green,High,1,763156
674,Blue,High,5,289025
675,Yellow,Low,70,460034
676,Blue,High,12,951261
677,Yellow,Low,90,543918
678,Orange,Medium,74,629885
679,Green,High,54,892519
680,Orange,High,78,903666
681,Green,Low,62,473267
682,Purple,Medium,72,377177
683,Blue,High,71,209898
684,Orange,Low,45,773831
685,Red,Low,5,437546
686,Yellow,High,47,859270
687,Orange,Medium,59,166108
688,Red,High,42,369119
689,Purple,Low,67,337010
690,Green,Low,10,693610
691,Blue,Low,57,521027
692,Red,Medium,91,369398
693,Blue,Low,89,781886
694,Green,Medium,3,812512
695,Blue,Low,78,927053
696,Blue,Medium,82,330956
697,Orange,High,69,852543
698,Yellow,Medium,58,139018
699,Red,High,4,515960
700,Purple,Medium,17,604560
701,Blue,High,69,13466
702,Blue,Medium,63,30427
703,Orange,High,94,786077
704,Purple,Low,24,792663
705,Red,High,3,866670
706,Green,Medium,69,572694
707,Yellow,Low,40,50621
708,Purple,Low,36,713733
709,Blue,High,58,474286
710,Green,High,49,253215
711,Yellow,Low,55,843705
712,Purple,High,24,835510
713,Blue,Low,33,252997
714,Red,Low,18,930491
715,Purple,High,97,424290
716,Blue,High,78,300183
717,Green,Medium,7,996332
718,Purple,High,53,914001
719,Yellow,Low,46,703929
720,Red,Low,33,664146
721,Purple,Medium,81,414316
722,Orange,Medium,29,182366
723,Purple,Low,12,953323
724,Orange,Medium,46,280436
725,Red,Low,32,348141
726,Orange,High,34,924610
727,Green,Low,87,967948
728,Yellow,Medium,25,886718
729,Blue,High,46,493933
730,Green,Low,52,607618
731,Blue,Low,64,685489
732,Orange,Medium,76,703004
733,Yellow,Medium,73,226800
734,Green,Low,18,445945
735,Purple,High,4,445024
736,Green,Medium,7,621784
737,Blue,High,3,629507
738,Purple,Medium,48,143245
739,Red,High,76,84890
740,Green,Low,37,752000
741,Green,High,48,934378
742,Purple,Low,82,486315
743,Green,High,51,756168
744,Purple,Low,49,623496
745,Red,Low,71,596049
746,Green,High,90,618704
747,Blue,Medium,49,405973
748,Green,Low,29,415336
749,Purple,High,3,33842
750,Purple,Low,74,210655
751,Blue,Low,84,393676
752,Blue,High,65,455678
753,Purple,Low,20,271291
754,Orange,Medium,80,257507
755,Purple,High,42,184936
756,Green,Low,28,468310
757,Purple,High,26,345508
758,Blue,High,87,494230
759,Green,Medium,52,898604
760,Purple,High,48,686467
761,Red,High,66,506518
762,Blue,High,9,670290
763,Orange,High,2,977260
764,Red,High,89,591596
765,Green,Low,90,374134
766,Blue,High,68,756341
767,Green,Low,10,881803
768,Yellow,Low,12,685525
769,Blue,Medium,97,927604
770,Green,Medium,37,326086
771,Red,High,39,84573
772,Green,Medium,32,409253
773,Purple,Low,33,851211
774,Purple,High,26,35247
775,Red,Medium,99,324961
776,Green,Low,89,258867
777,Blue,Medium,50,34813
778,Red,High,88,844803
779,Green,Medium,82,319498
780,Yellow,High,20,106648
781,Purple,High,94,590350
782,Red,Medium,28,248873
783,Green,High,72,485157
784,Yellow,High,18,32957
785,Purple,High,25,519157
786,Yellow,High,24,48870
787,Orange,Medium,39,493728
788,Red,High,28,957353
789,Green,High,24,396030
790,Yellow,High,18,603015
791,Yellow,High,67,314805
792,Yellow,Low,44,575119
793,Blue,Medium,83,662673
794,Yellow,Medium,45,793749
795,Green,Low,54,519638
796,Green,Medium,0,49308
797,Green,Low,10,144490
798,Purple,Medium,67,346458
799,Yellow,Medium,6,303883
800,Red,High,91,588486
801,Purple,Low,99,901982
802,Orange,Low,57,969294
803,Blue,Medium,70,658776
804,Green,Low,19,499671
805,Blue,High,34,927293
806,Purple,Medium,50,619413
807,Blue,Medium,20,386367
808,Purple,High,43,530891
809,Orange,Low,0,949178
810,Blue,Low,66,784595
811,Green,Medium,97,81818
812,Orange,Medium,12,522754
813,Yellow,High,15,11337
814,Green,Low,33,439531
815,Orange,Low,23,810089
816,Green,Low,12,223379
817,Green,High,5,146317
818,Yellow,High,38,823774
819,Green,Medium,1,276066
820,Purple,Medium,10,535509
821,Orange,Medium,6,843210
822,Blue,Medium,6,667284
823,Yellow,Low,38,197409
824,Red,Low,75,543189
825,Orange,Low,85,706767
826,Purple,Low,50,321646
827,Orange,High,51,477608
828,Yellow,High,2,685459
829,Blue,Low,76,890965
830,Yellow,Medium,29,477368
831,Purple,Low,9,571316
832,Purple,Medium,72,132426
833,Orange,High,5,117697
834,Red,High,53,668871
835,Green,Medium,65,610728
836,Blue,Low,43,731569
837,Orange,Low,79,962210
838,Purple,Medium,62,525937
839,Purple,Low,76,710878
840,Blue,Low,47,428545
841,Orange,High,76,738199
842,Purple,Medium,21,913093
843,Red,Low,18,301563
844,Red,High,89,399166
845,Green,Low,13,664832
846,Orange,Low,94,840079
847,Orange,Medium,92,41649
848,Orange,Low,85,116833
849,Yellow,High,6,719789
850,Blue,Low,48,103708
851,Red,Medium,40,857478
852,Red,Low,26,314942
853,Red,Low,30,987782
854,Red,Medium,5,38960
855,Green,Low,15,968242
856,Purple,Low,63,212327
857,Orange,Medium,37,561548
858,Red,Low,59,104617
859,Orange,High,95,955326
860,Green,Low,96,20738
861,Yellow,Low,80,657019
862,Orange,Medium,32,959812
863,Purple,Medium,62,132857
864,Yellow,Medium,10,809342
865,Purple,Medium,12,48464
866,Orange,Low,93,799836
867,Purple,High,64,71302
868,Purple,High,29,545113
869,Green,High,90,964514
870,Blue,Medium,22,127508
871,Yellow,Low,19,323095
872,Purple,Low,5,438675
873,Purple,Low,36,117568
874,Red,High,83,955228
875,Orange,High,5,344117
876,Red,Medium,92,284548
877,Green,High,76,838909
878,Purple,High,26,478528
879,Yellow,High,83,835453
880,Orange,High,12,806626
881,Yellow,Low,7,872387
882,Red,High,52,446785
883,Red,High,80,906071
884,Blue,High,29,779882
885,Purple,High,0,447681
886,Purple,High,87,489214
887,Orange,High,79,113709
888,Red,Medium,74,653587
889,Red,Medium,3,149338
890,Red,Low,61,894308
891,Blue,Medium,67,491770
892,Orange,Low,16,644177
893,Blue,Medium,73,835207
894,Blue,Medium,84,79140
895,Purple,Medium,56,78816
896,Blue,Low,62,670522
897,Purple,Low,56,703746
898,Red,Medium,48,386860
899,Purple,Medium,17,306346
900,Yellow,Low,57,766567
901,Orange,Low,9,308164
902,Green,Medium,62,147520
903,Red,Medium,79,57042
904,Yellow,Medium,78,36214
905,Green,Medium,33,35353
906,Yellow,Low,4,148498
907,Green,High,16,808068
908,Green,Low,71,664188
909,Blue,Low,62,499193
910,Yellow,High,23,776809
911,Orange,High,91,232069
912,Yellow,Low,7,534900
913,Red,Low,22,735082
914,Orange,High,98,101204
915,Purple,High,30,67961
916,Orange,High,80,52506
917,Orange,Low,27,358172
918,Orange,Medium,47,720248
919,Yellow,High,11,184305
920,Yellow,Medium,87,823477
921,Red,Medium,78,686007
922,Red,Low,30,150192
923,Blue,Low,90,855178
924,Orange,Medium,34,346794
925,Purple,Low,54,337779
926,Purple,High,81,721897
927,Blue,High,35,733250
928,Orange,Medium,71,266344
929,Orange,Medium,59,533474
930,Orange,High,37,458276
931,Red,High,68,449006
932,Red,Medium,53,468396
933,Red,High,13,535896
934,Yellow,Low,19,457762
935,Purple,Low,8,40105
936,Purple,Medium,96,494248
937,Green,Low,81,345399
938,Green,Medium,69,807930
939,Yellow,Low,1,387116
940,Yellow,Low,29,302504
941,Purple,Medium,5,677282
942,Orange,High,80,468435
943,Green,Medium,40,647100
944,Orange,Medium,22,58851
945,Blue,High,30,856125
946,Red,Low,19,381510
947,Purple,Medium,4,354064
948,Blue,Medium,20,69530
949,Yellow,Medium,74,522707
950,Red,Low,67,466582
951,Yellow,Low,86,507371
952,Green,High,60,974451
953,Orange,Medium,93,446665
954,Blue,High,41,399062
955,Orange,High,40,324259
956,Red,Medium,60,592818
957,Red,Medium,81,12098
958,Yellow,High,51,385026
959,Orange,Low,40,572022
960,Purple,High,59,470820
961,Blue,Low,94,475579
962,Red,Low,29,416134
963,Red,High,97,266128
964,Orange,Medium,94,310516
965,Green,High,37,557181
966,Blue,High,88,350073
967,Blue,Low,16,181714
968,Red,High,99,395249
969,Orange,Medium,39,492956
970,Blue,High,29,634399
971,Blue,High,65,488326
972,Red,Low,23,942385
973,Red,Medium,72,102311
974,Yellow,Medium,0,372380
975,Orange,Low,87,964245
976,Yellow,Medium,37,959286
977,Orange,Medium,63,333329
978,Yellow,High,26,993306
979,Yellow,Low,89,447254
980,Blue,Medium,89,894605
981,Green,Low,6,211990
982,Red,High,88,575862
983,Red,Medium,79,366262
984,Purple,Low,41,317531
985,Green,Medium,17,72834
986,Orange,Low,80,527461
987,Green,High,43,496782
988,Red,High,69,94338
989,Green,Medium,19,885186
990,Orange,Medium,22,300050
991,Purple,Low,11,607324
992,Blue,Medium,11,113069
993,Orange,High,33,785689
994,Yellow,High,7,280963
995,Purple,High,26,625368
996,Orange,Medium,48,931989
997,Orange,Low,71,360836
998,Yellow,High,54,722885
999,Red,High,96,700411
